"path","location","ext","bytes","mtime"
"C:\Users\dstor\Downloads\All_City_Task_004_Alchemy_SM_extraction.md","Downloads",".md","26914","2026-08-21T20:08:32Z"
"C:\Users\dstor\Downloads\AllCity_Acct_02_extraction.md","Downloads",".md","20876","2026-08-21T18:30:38Z"
"C:\Users\dstor\Downloads\ALLCITY-BOARD-INDEX (1).md","Downloads",".md","7458","2026-08-16T23:59:26Z"
"C:\Users\dstor\Downloads\ALLCITY-BOARD-INDEX.md","Downloads",".md","7458","2026-08-16T23:45:15Z"
"C:\Users\dstor\Downloads\ALLCITY-BOARD-RECORDS (1).md","Downloads",".md","175522","2026-08-16T23:59:28Z"
"C:\Users\dstor\Downloads\ALLCITY-BOARD-RECORDS.md","Downloads",".md","175522","2026-08-16T23:45:14Z"
"C:\Users\dstor\Downloads\ALLCITY-KICKOFF-PROMPT.md","Downloads",".md","6830","2026-08-16T23:59:20Z"
"C:\Users\dstor\Downloads\anki_deck.jsx","Downloads",".jsx","14640","2026-06-20T17:48:00Z"
"C:\Users\dstor\Downloads\Annual Financial Projections for 12000 sqft expansion.xlsx","Downloads",".xlsx","17762","2026-03-19T21:53:17Z"
"C:\Users\dstor\Downloads\Annual profit breakdown of 12000 building.docx","Downloads",".docx","15660","2026-02-27T18:29:45Z"
"C:\Users\dstor\Downloads\Answers.docx","Downloads",".docx","85091","2026-08-03T02:57:48Z"
"C:\Users\dstor\Downloads\AP_Memo.pdf","Downloads",".pdf","2760","2026-08-02T03:15:16Z"
"C:\Users\dstor\Downloads\apex_cliff_notes.pdf","Downloads",".pdf","7222","2026-07-12T21:26:56Z"
"C:\Users\dstor\Downloads\Appendix_G_Consolidation_Ledger (1).docx","Downloads",".docx","42411","2026-05-17T05:31:33Z"
"C:\Users\dstor\Downloads\Appendix_G_Consolidation_Ledger.docx","Downloads",".docx","42411","2026-05-15T13:25:42Z"
"C:\Users\dstor\Downloads\Appendix_G_FINAL_QA.docx","Downloads",".docx","23649","2026-05-16T05:50:21Z"
"C:\Users\dstor\Downloads\Approved_Task_Intelligence (1).md","Downloads",".md","31972","2026-07-28T20:54:21Z"
"C:\Users\dstor\Downloads\Approved_Task_Intelligence.md","Downloads",".md","31946","2026-07-18T17:05:52Z"
"C:\Users\dstor\Downloads\AskMaps P13n General Instructions.pdf","Downloads",".pdf","251736","2026-07-14T19:44:14Z"
"C:\Users\dstor\Downloads\AUTHOR_WORKLIST.md","Downloads",".md","10404","2026-07-28T03:42:07Z"
"C:\Users\dstor\Downloads\AviationData.csv","Downloads",".csv","22533934","2026-03-20T19:54:32Z"
"C:\Users\dstor\Downloads\B_surface.md","Downloads",".md","10450","2026-07-28T19:02:48Z"
"C:\Users\dstor\Downloads\Bacillus_subtilis_Reference_Entry.docx","Downloads",".docx","19923","2026-05-18T01:09:34Z"
"C:\Users\dstor\Downloads\BBB2.docx","Downloads",".docx","37192","2026-04-10T06:37:39Z"
"C:\Users\dstor\Downloads\beginner_trading_guide.md.pdf","Downloads",".pdf","191446","2026-02-22T08:19:46Z"
"C:\Users\dstor\Downloads\Birth Photography Desk Sign.pdf","Downloads",".pdf","387606","2026-07-26T06:00:08Z"
"C:\Users\dstor\Downloads\blueprint (1).json","Downloads",".json","27618","2025-03-21T15:19:23Z"
"C:\Users\dstor\Downloads\Blueprint Equipement Placement Sandbox.png","Downloads",".png","84504","2026-03-11T19:04:46Z"
"C:\Users\dstor\Downloads\Blueprint light placement sandbox.png","Downloads",".png","45815","2026-01-08T23:10:03Z"
"C:\Users\dstor\Downloads\Blueprint Light Placement.png","Downloads",".png","82022","2026-03-11T18:47:29Z"
"C:\Users\dstor\Downloads\Blueprint table placement sandbox.png","Downloads",".png","45780","2026-01-08T23:14:23Z"
"C:\Users\dstor\Downloads\Blueprint Table Placement.png","Downloads",".png","81277","2026-03-11T18:40:32Z"
"C:\Users\dstor\Downloads\blueprint.json","Downloads",".json","27618","2025-03-21T15:14:02Z"
"C:\Users\dstor\Downloads\board-2026-08-05.json","Downloads",".json","1503781","2026-08-05T06:53:31Z"
"C:\Users\dstor\Downloads\Brand_Royalty_May_2026_Workings.xlsx","Downloads",".xlsx","40647","2026-08-27T05:10:51Z"
"C:\Users\dstor\Downloads\Bravo_Zenon_Environment_Findings.pdf","Downloads",".pdf","49319","2026-08-16T16:38:31Z"
"C:\Users\dstor\Downloads\Build image rights workbook OAI.pdf","Downloads",".pdf","2270673","2026-09-19T07:04:21Z"
"C:\Users\dstor\Downloads\BUILD_8bf360_rebate_cascade.md","Downloads",".md","10040","2026-07-26T02:16:22Z"
"C:\Users\dstor\Downloads\BUILD_amazon_rebate_cascade.md","Downloads",".md","9983","2026-07-26T02:50:09Z"
"C:\Users\dstor\Downloads\build_render_script.py","Downloads",".py","17271","2026-05-31T17:32:05Z"
"C:\Users\dstor\Downloads\BZ_AP_Aging_DPO_FY2025_H1_2026.xlsx","Downloads",".xlsx","17432","2026-08-04T08:30:11Z"
"C:\Users\dstor\Downloads\BZ_COLLISION_LIST.md","Downloads",".md","6954","2026-07-31T18:21:32Z"
"C:\Users\dstor\Downloads\BZ_FY2025_Programme_Cost_Basis_Memo.pdf","Downloads",".pdf","2397","2026-08-09T02:46:11Z"
"C:\Users\dstor\Downloads\BZ_TASK_DRAFT_customer_receipts (1).md","Downloads",".md","7149","2026-07-31T18:35:11Z"
"C:\Users\dstor\Downloads\BZ_TASK_DRAFT_customer_receipts.md","Downloads",".md","7149","2026-07-31T17:12:22Z"
"C:\Users\dstor\Downloads\BZ-002-HANDOFF.md","Downloads",".md","46916","2026-08-04T07:40:18Z"
"C:\Users\dstor\Downloads\BZ-01-prompt-and-memo.md","Downloads",".md","5451","2026-07-31T21:16:02Z"
"C:\Users\dstor\Downloads\BZ-01-supplemental-work.pdf","Downloads",".pdf","49809","2026-08-03T00:16:00Z"
"C:\Users\dstor\Downloads\BZ-01R Cash Accrual.docx","Downloads",".docx","20325","2026-08-03T03:05:16Z"
"C:\Users\dstor\Downloads\BZ-01R_Cash_Retained_Golden.xlsx","Downloads",".xlsx","15704","2026-08-09T22:14:51Z"
"C:\Users\dstor\Downloads\BZ-01R_golden.py","Downloads",".py","15270","2026-08-09T21:52:26Z"
"C:\Users\dstor\Downloads\BZ-01R-prompt-and-memo.md","Downloads",".md","3685","2026-08-04T02:56:32Z"
"C:\Users\dstor\Downloads\BZ-01R-prompt-and-rubric-v4.md","Downloads",".md","12920","2026-08-07T04:04:16Z"
"C:\Users\dstor\Downloads\BZ-01R-revision-v2.md","Downloads",".md","8858","2026-08-04T18:26:08Z"
"C:\Users\dstor\Downloads\BZ-01R-rubric-criteria (1).md","Downloads",".md","5621","2026-08-04T02:57:28Z"
"C:\Users\dstor\Downloads\BZ-01R-rubric-criteria (2).md","Downloads",".md","5621","2026-08-04T18:28:11Z"
"C:\Users\dstor\Downloads\BZ-01R-rubric-criteria-v2.md","Downloads",".md","9538","2026-08-03T02:51:05Z"
"C:\Users\dstor\Downloads\BZ-01R-rubric-criteria-v3 (1).md","Downloads",".md","9152","2026-08-05T00:33:56Z"
"C:\Users\dstor\Downloads\BZ-01R-rubric-criteria-v3.md","Downloads",".md","9137","2026-08-05T00:09:10Z"
"C:\Users\dstor\Downloads\BZ-01R-rubric-criteria.md","Downloads",".md","5621","2026-08-03T02:29:46Z"
"C:\Users\dstor\Downloads\BZ-01R-rubric-v5 (1).md","Downloads",".md","12270","2026-08-10T01:09:46Z"
"C:\Users\dstor\Downloads\BZ-01R-rubric-v5.md","Downloads",".md","10752","2026-08-10T01:00:53Z"
"C:\Users\dstor\Downloads\BZ-01R-supplemental-design-and-deltas.pdf","Downloads",".pdf","6554","2026-08-04T02:57:16Z"
"C:\Users\dstor\Downloads\BZ-02-build-guide.md","Downloads",".md","15308","2026-08-02T07:01:20Z"
"C:\Users\dstor\Downloads\BZ-02-build-guide.md.pdf","Downloads",".pdf","396924","2026-08-02T07:01:30Z"
"C:\Users\dstor\Downloads\BZ-10-rubric.md","Downloads",".md","10416","2026-08-07T17:38:50Z"
"C:\Users\dstor\Downloads\BZ-15-build-plan.md","Downloads",".md","12714","2026-08-01T22:27:47Z"
"C:\Users\dstor\Downloads\BZ-15-plan-and-handoff.md","Downloads",".md","16467","2026-08-01T23:38:24Z"
"C:\Users\dstor\Downloads\BZ-ARCHIVE-HANDOFF.md","Downloads",".md","13272","2026-08-11T20:14:08Z"
"C:\Users\dstor\Downloads\BZ-BACKLOG.md","Downloads",".md","6052","2026-08-04T19:03:48Z"
"C:\Users\dstor\Downloads\BZ-BUILD-03-brief (1).md","Downloads",".md","14408","2026-08-04T10:02:05Z"
"C:\Users\dstor\Downloads\BZ-BUILD-03-brief (2).md","Downloads",".md","14408","2026-08-04T10:02:31Z"
"C:\Users\dstor\Downloads\BZ-BUILD-03-brief.md","Downloads",".md","12526","2026-08-06T04:51:21Z"
"C:\Users\dstor\Downloads\BZ-BUILD-10-thread-prompt.md","Downloads",".md","9779","2026-08-05T05:54:33Z"
"C:\Users\dstor\Downloads\BZ-BUILD-C26-package.md","Downloads",".md","21789","2026-08-07T07:21:03Z"
"C:\Users\dstor\Downloads\BZ-C22-memo-and-prompt-skeleton (1).md","Downloads",".md","8783","2026-08-08T07:26:09Z"
"C:\Users\dstor\Downloads\BZ-C22-memo-and-prompt-skeleton.md","Downloads",".md","8783","2026-08-08T06:17:36Z"
"C:\Users\dstor\Downloads\BZ-DIVERGENCE-QUERY.md","Downloads",".md","4034","2026-08-21T06:52:09Z"
"C:\Users\dstor\Downloads\BZ-GEN-01-candidates (1).md","Downloads",".md","28440","2026-08-02T19:01:30Z"
"C:\Users\dstor\Downloads\BZ-GEN-01-candidates.md","Downloads",".md","28440","2026-08-02T18:48:32Z"
"C:\Users\dstor\Downloads\BZ-GEN-01-candidates.md.pdf","Downloads",".pdf","273789","2026-08-02T18:48:39Z"
"C:\Users\dstor\Downloads\BZ-GEN-02-HANDOFF.md","Downloads",".md","27441","2026-08-05T07:27:13Z"
"C:\Users\dstor\Downloads\BZ-HANDOFF-2026-08-08.md","Downloads",".md","16321","2026-08-08T07:19:01Z"
"C:\Users\dstor\Downloads\BZ-Mining-Doc.docx","Downloads",".docx","33098","2026-07-31T18:56:25Z"
"C:\Users\dstor\Downloads\BZ-OPS.md","Downloads",".md","7392","2026-08-05T05:25:14Z"
"C:\Users\dstor\Downloads\BZ-RE-01-handoff.md","Downloads",".md","6330","2026-08-04T03:03:52Z"
"C:\Users\dstor\Downloads\BZ-RE-02-handoff.md","Downloads",".md","5630","2026-08-04T05:05:41Z"
"C:\Users\dstor\Downloads\BZ-REORIENT.md","Downloads",".md","7287","2026-08-04T19:00:05Z"
"C:\Users\dstor\Downloads\C_golden.md","Downloads",".md","8650","2026-07-28T19:02:49Z"
"C:\Users\dstor\Downloads\C26-rubric.md","Downloads",".md","7794","2026-08-07T18:35:46Z"
"C:\Users\dstor\Downloads\calendar_event_category_analysis_extraction.md","Downloads",".md","16781","2026-08-21T18:30:57Z"
"C:\Users\dstor\Downloads\calibration-submission-2026-09-19.json","Downloads",".json","30187","2026-09-19T07:09:06Z"
"C:\Users\dstor\Downloads\CAMPAIGN-HANDOFF-2026-08-20.md","Downloads",".md","13999","2026-08-20T05:40:08Z"
"C:\Users\dstor\Downloads\CANDIDATE-GEN-04-CARD-R2.md","Downloads",".md","16166","2026-08-28T18:45:56Z"
"C:\Users\dstor\Downloads\Cannabis and Non Cannabis Waste Log.docx","Downloads",".docx","7771","2026-01-01T22:44:51Z"
"C:\Users\dstor\Downloads\cannabis_fertigation_automation_argus_priva_growlink_trolmaster.pdf","Downloads",".pdf","88100","2026-06-09T18:30:16Z"
"C:\Users\dstor\Downloads\card_program_standard_v1.pdf","Downloads",".pdf","3602","2026-09-12T16:30:35Z"
"C:\Users\dstor\Downloads\Cash Retained - Review Scope Note (1).pdf","Downloads",".pdf","4486","2026-08-04T23:54:12Z"
"C:\Users\dstor\Downloads\Cash Retained - Review Scope Note.pdf","Downloads",".pdf","4486","2026-08-04T21:16:34Z"
"C:\Users\dstor\Downloads\Cash Retained.pdf","Downloads",".pdf","6554","2026-08-03T03:08:18Z"
"C:\Users\dstor\Downloads\Cash_Retained (3).xlsx","Downloads",".xlsx","12652","2026-08-07T07:49:10Z"
"C:\Users\dstor\Downloads\Cash_Retained_Calculation_Workpaper.pdf","Downloads",".pdf","12373","2026-08-07T04:22:59Z"
"C:\Users\dstor\Downloads\Cash_Retained.xlsx","Downloads",".xlsx","13387","2026-08-10T16:43:20Z"
"C:\Users\dstor\Downloads\catalog_verification_checklist.md","Downloads",".md","5267","2026-07-18T18:02:47Z"
"C:\Users\dstor\Downloads\CC runs.md","Downloads",".md","26764","2026-08-19T00:50:37Z"
"C:\Users\dstor\Downloads\cc_operating_rules.md","Downloads",".md","5728","2026-08-04T20:06:48Z"
"C:\Users\dstor\Downloads\CC-ALCHEMY-RESTRUCTURE-01.md","Downloads",".md","5254","2026-08-16T23:59:23Z"
"C:\Users\dstor\Downloads\CC-ALCHEMY-RESTRUCTURE-EXEC-02.md","Downloads",".md","3128","2026-08-16T23:59:25Z"
"C:\Users\dstor\Downloads\CC-ALLCITY-REFERENCE-MOVE-02 (1).md","Downloads",".md","2192","2026-08-16T23:59:19Z"
"C:\Users\dstor\Downloads\CC-ALLCITY-REFERENCE-MOVE-02.md","Downloads",".md","2192","2026-08-16T23:58:43Z"
"C:\Users\dstor\Downloads\cc-bz01r-golden.md","Downloads",".md","4095","2026-08-04T02:56:28Z"
"C:\Users\dstor\Downloads\cc-collisions-repull.md","Downloads",".md","3964","2026-08-04T02:56:57Z"
"C:\Users\dstor\Downloads\CC-G1-RETIRE-02.md","Downloads",".md","1885","2026-08-26T22:57:20Z"
"C:\Users\dstor\Downloads\CGLabC4M3.ipynb","Downloads",".ipynb","13251","2026-05-20T19:09:11Z"
"C:\Users\dstor\Downloads\Ch-AWxvX2Jc - 1.json","Downloads",".json","66543","2025-07-31T19:39:58Z"
"C:\Users\dstor\Downloads\Channel_Retention_and_Disposition_Standard.pdf","Downloads",".pdf","9187","2026-08-04T19:37:57Z"
"C:\Users\dstor\Downloads\CHATGPT_COMPLETE_REWRITE_LIST (1).md","Downloads",".md","16803","2026-06-01T22:07:16Z"
"C:\Users\dstor\Downloads\CHATGPT_COMPLETE_REWRITE_LIST.md","Downloads",".md","16803","2026-06-01T19:16:40Z"
"C:\Users\dstor\Downloads\CHATGPT_MERGE_HANDOFF (1).md","Downloads",".md","6344","2026-06-03T06:04:08Z"
"C:\Users\dstor\Downloads\CHATGPT_MERGE_HANDOFF.md","Downloads",".md","6344","2026-06-03T06:02:10Z"
"C:\Users\dstor\Downloads\chatgpt-voice-system.md","Downloads",".md","11450","2026-08-01T02:59:54Z"
"C:\Users\dstor\Downloads\Chrome Passwords.csv","Downloads",".csv","59534","2026-09-15T18:36:12Z"
"C:\Users\dstor\Downloads\chrome_task_extraction_command.md","Downloads",".md","6779","2026-08-04T02:49:13Z"
"C:\Users\dstor\Downloads\claimssofteningtable (1).md","Downloads",".md","31613","2026-07-28T01:15:22Z"
"C:\Users\dstor\Downloads\claimssofteningtable.md","Downloads",".md","31613","2026-07-27T22:52:35Z"
"C:\Users\dstor\Downloads\claude_code_empirical_probe.md","Downloads",".md","3726","2026-07-25T23:19:55Z"
"C:\Users\dstor\Downloads\CLAUDE_CODE_SESSION_HANDOFF.md","Downloads",".md","8102","2026-07-28T02:39:34Z"
"C:\Users\dstor\Downloads\claude_code_step2_decision.md","Downloads",".md","3498","2026-07-25T22:48:16Z"
"C:\Users\dstor\Downloads\Claude_Promotion_Projection_Form_Template.xlsx","Downloads",".xlsx","7328","2026-04-07T07:34:40Z"
"C:\Users\dstor\Downloads\CLEANUP-G2-03-PROMPT.md","Downloads",".md","1506","2026-08-25T07:57:41Z"
"C:\Users\dstor\Downloads\CLEANUP-G2-04-PROMPT.md","Downloads",".md","2126","2026-08-27T00:45:58Z"
"C:\Users\dstor\Downloads\Clone room virtual graph.png","Downloads",".png","25852","2026-02-25T05:01:12Z"
"C:\Users\dstor\Downloads\COA_Classification_May2026.xlsx","Downloads",".xlsx","8757","2026-08-21T18:52:21Z"
"C:\Users\dstor\Downloads\Complete_with_Docusign_Mercor_Confidentialit.pdf","Downloads",".pdf","188843","2026-08-12T02:51:01Z"
"C:\Users\dstor\Downloads\confidential.pdf","Downloads",".pdf","173759","2026-09-07T16:07:57Z"
"C:\Users\dstor\Downloads\content.docx","Downloads",".docx","17972","2025-06-06T19:39:11Z"
"C:\Users\dstor\Downloads\Contradictions_And_Review_Notes.docx","Downloads",".docx","36972","2026-05-18T03:30:10Z"
"C:\Users\dstor\Downloads\Controller_Memo_Prior_Period_Group_Totals.pdf","Downloads",".pdf","3198","2026-08-05T02:18:01Z"
"C:\Users\dstor\Downloads\convertible_note_capture (1).md","Downloads",".md","23039","2026-08-21T18:31:24Z"
"C:\Users\dstor\Downloads\convertible_note_capture.md","Downloads",".md","23039","2026-08-21T18:30:09Z"
"C:\Users\dstor\Downloads\Corrected_Damon_Smith_Expert_Network_Profile.docx","Downloads",".docx","38454","2026-05-18T03:30:09Z"
"C:\Users\dstor\Downloads\Corrected_Damon_Smith_Expert_OnePager.docx","Downloads",".docx","38147","2026-05-18T03:30:07Z"
"C:\Users\dstor\Downloads\Corrected_Damon_Smith_Resume.docx","Downloads",".docx","39071","2026-05-18T03:30:06Z"
"C:\Users\dstor\Downloads\Court Summary.docx","Downloads",".docx","8831","2025-12-19T07:01:00Z"
"C:\Users\dstor\Downloads\Crosswalk V2.xlsx","Downloads",".xlsx","6538580","2026-09-09T17:55:02Z"
"C:\Users\dstor\Downloads\crypto_market_cycle_manus_prompt.docx","Downloads",".docx","15296","2026-03-17T16:38:20Z"
"C:\Users\dstor\Downloads\current_problems_detail.md","Downloads",".md","3616","2026-05-31T17:32:13Z"
"C:\Users\dstor\Downloads\current_stylesheet.css","Downloads",".css","2291","2026-05-31T17:32:04Z"
"C:\Users\dstor\Downloads\Customer_Concentration_Schedule.xlsx","Downloads",".xlsx","381797","2026-08-03T00:32:15Z"
"C:\Users\dstor\Downloads\customer-concentration-task-v2.md","Downloads",".md","5328","2026-08-01T02:59:52Z"
"C:\Users\dstor\Downloads\customers.parquet","Downloads",".parquet","1957359","2026-07-28T19:16:02Z"
"C:\Users\dstor\Downloads\D_rubric.md","Downloads",".md","9578","2026-07-28T19:02:50Z"
"C:\Users\dstor\Downloads\D-1-FINDINGS-HANDOFF.md","Downloads",".md","7739","2026-09-04T01:59:23Z"
"C:\Users\dstor\Downloads\d0aa4ff2-45c4-4e72-90d8-b624e09b0de4.png","Downloads",".png","2316667","2026-06-02T04:49:29Z"
"C:\Users\dstor\Downloads\DAMON SMITH 11925.pdf","Downloads",".pdf","82514","2026-04-13T17:34:19Z"
"C:\Users\dstor\Downloads\DAMON SMITH 12725.pdf","Downloads",".pdf","81650","2026-04-13T17:37:01Z"
"C:\Users\dstor\Downloads\Damon Taxes 2025.pdf","Downloads",".pdf","35978","2026-04-20T19:24:17Z"
"C:\Users\dstor\Downloads\damon_90day_consolidated_plan.md","Downloads",".md","11469","2026-06-20T17:23:31Z"
"C:\Users\dstor\Downloads\damon_career_context.json","Downloads",".json","15188","2026-06-09T18:32:01Z"
"C:\Users\dstor\Downloads\Damon_Income_Recovery_Strategy.md","Downloads",".md","24785","2026-06-20T17:48:16Z"
"C:\Users\dstor\Downloads\Damon_Income_Recovery_Strategy(1).md","Downloads",".md","24785","2026-05-28T03:00:02Z"
"C:\Users\dstor\Downloads\damon_jobsearch_profile (1).json","Downloads",".json","20301","2026-06-12T22:54:14Z"
"C:\Users\dstor\Downloads\damon_jobsearch_profile.json","Downloads",".json","20301","2026-06-12T22:46:44Z"
"C:\Users\dstor\Downloads\Damon_Smith_Application_Tracker_Full_Strategy_v2.xlsx","Downloads",".xlsx","29945","2026-05-26T21:12:48Z"
"C:\Users\dstor\Downloads\Damon_Smith_Expert_OnePager.pdf","Downloads",".pdf","23051","2026-05-17T21:39:10Z"
"C:\Users\dstor\Downloads\Damon_Smith_ExpertNetworkProfile_REVISED.md","Downloads",".md","7792","2026-06-08T00:33:31Z"
"C:\Users\dstor\Downloads\Damon_Smith_ExpertOnePager_REVISED.md","Downloads",".md","4907","2026-06-08T00:33:30Z"
"C:\Users\dstor\Downloads\Damon_Smith_Final_Resume - IA.pdf","Downloads",".pdf","86069","2026-08-03T04:13:44Z"
"C:\Users\dstor\Downloads\Damon_Smith_Income_Recovery_Execution_Plan_v3.pdf","Downloads",".pdf","301326","2026-05-28T03:00:20Z"
"C:\Users\dstor\Downloads\Damon_Smith_Resume (1).pdf","Downloads",".pdf","86069","2026-06-16T01:43:20Z"
"C:\Users\dstor\Downloads\Damon_Smith_Resume_Cannabis_Fractional.md","Downloads",".md","7736","2026-06-08T00:33:31Z"
"C:\Users\dstor\Downloads\Damon_Smith_Resume_Operations_v2.docx","Downloads",".docx","11236","2026-06-09T20:01:50Z"
"C:\Users\dstor\Downloads\Damon_Smith_Resume_Operations.docx","Downloads",".docx","11599","2026-06-09T18:44:57Z"
"C:\Users\dstor\Downloads\Damon_Smith_Resume_Operations.pdf","Downloads",".pdf","55136","2026-06-10T01:49:16Z"
"C:\Users\dstor\Downloads\Damon_Smith_Resume.docx","Downloads",".docx","12955","2026-06-16T01:43:19Z"
"C:\Users\dstor\Downloads\Damon_Smith_Resume.pdf","Downloads",".pdf","30131","2026-05-17T21:41:10Z"
"C:\Users\dstor\Downloads\DamonSmith_Resume (1).pdf","Downloads",".pdf","58540","2025-08-10T20:17:46Z"
"C:\Users\dstor\Downloads\DamonSmith_Resume.pdf","Downloads",".pdf","57556","2025-08-08T22:23:22Z"
"C:\Users\dstor\Downloads\DamonSmith_Resume1.pdf","Downloads",".pdf","58541","2025-08-10T20:17:38Z"
"C:\Users\dstor\Downloads\DECEASED CORRESPONDENCE 2025.docx","Downloads",".docx","38313","2026-04-10T04:38:09Z"
"C:\Users\dstor\Downloads\deep-research-report.md","Downloads",".md","19589","2026-06-09T19:27:29Z"
"C:\Users\dstor\Downloads\Deliverable Holiday Floorstand Budget.xlsx","Downloads",".xlsx","30167","2026-04-10T06:36:12Z"
"C:\Users\dstor\Downloads\Denver Off_LOI_ 7_13_25b FIXED.pages","Downloads",".pages","811086","2026-04-14T00:07:26Z"
"C:\Users\dstor\Downloads\dfw_employer_deep_research_prompt.md","Downloads",".md","7396","2026-06-09T18:43:53Z"
"C:\Users\dstor\Downloads\DHRP_Brochure_Swift_Final (1) (2).pdf","Downloads",".pdf","1331450","2026-06-16T00:52:34Z"
"C:\Users\dstor\Downloads\Discover-2025-YearEndSummary.pdf","Downloads",".pdf","433564","2026-03-17T17:57:18Z"
"C:\Users\dstor\Downloads\Discover-2026-YearToDateSummary.pdf","Downloads",".pdf","31535","2026-03-17T17:56:54Z"
"C:\Users\dstor\Downloads\DOCTRINE-14-EDIT-01.md","Downloads",".md","13738","2026-08-18T23:37:38Z"
"C:\Users\dstor\Downloads\Dry and curing daily checklist (1).pdf","Downloads",".pdf","66461","2026-02-12T21:14:53Z"
"C:\Users\dstor\Downloads\Dry and curing daily checklist.docx","Downloads",".docx","8625","2025-12-19T00:48:56Z"
"C:\Users\dstor\Downloads\Dry and curing daily checklist.pdf","Downloads",".pdf","52568","2026-02-12T21:15:12Z"
"C:\Users\dstor\Downloads\DS-C4M1-Defining-Cloud-Capacitors.png","Downloads",".png","836686","2026-05-06T21:38:42Z"
"C:\Users\dstor\Downloads\DS-C4M1-Tech-Lesson-Client-Server.png","Downloads",".png","63692","2026-05-06T18:23:52Z"
"C:\Users\dstor\Downloads\E_trajectory.md","Downloads",".md","15225","2026-07-28T19:02:51Z"
"C:\Users\dstor\Downloads\ElectronicRecordAndSignatureDisclosure.html","Downloads",".html","7776","2026-08-12T02:45:32Z"
"C:\Users\dstor\Downloads\EligibilityResultsNotice.pdf","Downloads",".pdf","247798","2025-03-10T16:00:21Z"
