"target","source","result","note"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E06_Container_Drainage_Myth_Rocks_At_The_Bottom_Ch22_Ch31.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_E06_Container_Drainage_Myth_Rocks_At_The_Bottom_Ch22_Ch31.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B21_Soil_Recipe_Matrix_By_Crop_Type_Ch23.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B21_Soil_Recipe_Matrix_By_Crop_Type_Ch23.png","copied",""
"C:\Users\dstor\lse-repo\assets\user_created_web\UCI_014_No_Till_Top_Dressing_Cycle.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\Images from internet\New image creations final draft\UCI_014_No_Till_Top_Dressing_Cycle.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B22_Top_Dress_Layer_Cake_Ch24.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B22_Top_Dress_Layer_Cake_Ch24.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A13_Cover_Crop_Function_Root_Architecture_Plate_Ch25.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_A13_Cover_Crop_Function_Root_Architecture_Plate_Ch25.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B23_Cover_Crop_Selector_North_Texas_Ch25.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B23_Cover_Crop_Selector_North_Texas_Ch25.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C20_Cover_Crop_Termination_Methods_Small_Beds_Ch25.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_C20_Cover_Crop_Termination_Methods_Small_Beds_Ch25.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E09_Cover_Crop_Failure_Modes_Small_Beds_Ch25.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_E09_Cover_Crop_Failure_Modes_Small_Beds_Ch25.png","copied",""
"C:\Users\dstor\lse-repo\assets\B30_049__LSE_FOUND_B28_SOIL_DroughtDrySoil_CrackingScale_VladislavNekrasov_CC-BY-4.0.jpg","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\B30_049__LSE_FOUND_B28_SOIL_DroughtDrySoil_CrackingScale_VladislavNekrasov_CC-BY-4.0.jpg","copied",""
"C:\Users\dstor\lse-repo\assets\B30_008__LSE_FOUND_B26_SOIL_AggregateStability_SlakeComparison_LanceCheung_USDA-PD.jpg","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\B30_008__LSE_FOUND_B26_SOIL_AggregateStability_SlakeComparison_LanceCheung_USDA-PD.jpg","copied",""
"C:\Users\dstor\lse-repo\assets\user_created_web\UCI_022_Irrigation_Systems_Comparison.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\Images from internet\New image creations final draft\UCI_022_Irrigation_Systems_Comparison.png","copied",""
"C:\Users\dstor\lse-repo\assets\B30_009__LSE_FOUND_B26_WATER_DripIrrigation_WettingPattern_PeggyGreb_USDA-PD.jpg","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\B30_009__LSE_FOUND_B26_WATER_DripIrrigation_WettingPattern_PeggyGreb_USDA-PD.jpg","copied",""
"C:\Users\dstor\lse-repo\assets\B30_080__LSE_FOUND_B29_HOLD_ROOTS_Basil_RhizoctoniaRootRot_DarkRoots_MSU_PERMISSION.jpg","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\B30_080__LSE_FOUND_B29_HOLD_ROOTS_Basil_RhizoctoniaRootRot_DarkRoots_MSU_PERMISSION.jpg","copied",""
"C:\Users\dstor\lse-repo\assets\B30_081__LSE_FOUND_B29_HOLD_ROOTS_Strawberry_BlackRootRot_HealthyVsDiseased_NCSU_PERMISSION.jpg","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\B30_081__LSE_FOUND_B29_HOLD_ROOTS_Strawberry_BlackRootRot_HealthyVsDiseased_NCSU_PERMISSION.jpg","copied",""
"C:\Users\dstor\lse-repo\assets\user_created_web\UCI_018_Comparing_Irrigation_Systems_for_Home_Gardens.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\Images from internet\New image creations final draft\UCI_018_Comparing_Irrigation_Systems_for_Home_Gardens.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B30_Irrigation_Systems_Compared_Ch34.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B30_Irrigation_Systems_Compared_Ch34.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C05_Irrigation_Maintenance_Checklist_Ch34_35_49.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_C05_Irrigation_Maintenance_Checklist_Ch34_35_49.png","copied",""
"C:\Users\dstor\lse-repo\assets\user_created_web\UCI_024_Rainwater_Harvesting_System_Home_Scale.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\Images from internet\New image creations final draft\UCI_024_Rainwater_Harvesting_System_Home_Scale.png","copied",""
"C:\Users\dstor\lse-repo\assets\B30_074__LSE_FOUND_B29_PRACTICAL_HighTunnel_Vegetables_RollUpVentilation_KathleenMoore_CC-BY-2.0.jpg","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\B30_074__LSE_FOUND_B29_PRACTICAL_HighTunnel_Vegetables_RollUpVentilation_KathleenMoore_CC-BY-2.0.jpg","copied",""
"C:\Users\dstor\lse-repo\assets\B30_075__LSE_FOUND_B29_PRACTICAL_HerbsLettuce_ColdFrame_OpenLid_ChrisAlberti_CC-BY-2.0.jpg","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\B30_075__LSE_FOUND_B29_PRACTICAL_HerbsLettuce_ColdFrame_OpenLid_ChrisAlberti_CC-BY-2.0.jpg","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A17_Hoop_House_Season_Extension_Setup_Ch36.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_A17_Hoop_House_Season_Extension_Setup_Ch36.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E14_Hoop_House_Spring_Rain_vs_Summer_Heat_Ch36.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_E14_Hoop_House_Spring_Rain_vs_Summer_Heat_Ch36.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E16_Light_Metrics_PPFD_DLI_Concept_Ch37.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_E16_Light_Metrics_PPFD_DLI_Concept_Ch37.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C02_Seed_Starting_Hardening_Off_Workflow_Ch49.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_C02_Seed_Starting_Hardening_Off_Workflow_Ch49.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B32_Tool_Sanitation_Workflow_Ch38_49.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B32_Tool_Sanitation_Workflow_Ch38_49.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A20_Soil_Microscopy_Workflow_Ch44.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\lse_figures\LSE_A20_Soil_Microscopy_Workflow_Ch44.png","copied",""
"C:\Users\dstor\lse-repo\assets\user_created_web\UCI_023_Soil_Test_Results_How_to_Read_Them.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\Images from internet\New image creations final draft\UCI_023_Soil_Test_Results_How_to_Read_Them.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C12_Soil_Test_Report_Decoder_Ch45.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_C12_Soil_Test_Report_Decoder_Ch45.png","copied",""
"C:\Users\dstor\lse-repo\assets\user_created_web\UCI_008_Soil_Input_Categories_Overview.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\Images from internet\New image creations final draft\UCI_008_Soil_Input_Categories_Overview.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A09_Compost_Maturity_Contamination_Inspection_Ch13.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_A09_Compost_Maturity_Contamination_Inspection_Ch13.png","copied",""
"C:\Users\dstor\lse-repo\assets\B30_007__LSE_FOUND_B26_COMPOST_Compost_MaturityContamination_TemperatureInspection_StephenAusmus_USDA-PD.jpg","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\B30_007__LSE_FOUND_B26_COMPOST_Compost_MaturityContamination_TemperatureInspection_StephenAusmus_USDA-PD.jpg","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B17_Microbial_Inoculant_Viability_Root_Contact_Ch17.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B17_Microbial_Inoculant_Viability_Root_Contact_Ch17.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A10_Brews_Teas_Ferments_Safety_Station_Ch19.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_A10_Brews_Teas_Ferments_Safety_Station_Ch19.png","copied",""
"C:\Users\dstor\lse-repo\assets\user_created_web\UCI_031_Home_Brew_Feed_Quick_Reference_Card.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\Images from internet\New image creations final draft\UCI_031_Home_Brew_Feed_Quick_Reference_Card.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C06_AACT_Brewing_Safety_Workflow_Ch19_Ch49.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_C06_AACT_Brewing_Safety_Workflow_Ch19_Ch49.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B15_Lime_Gypsum_Sulfur_Decision_Tree_Ch14.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B15_Lime_Gypsum_Sulfur_Decision_Tree_Ch14.png","copied",""
"C:\Users\dstor\lse-repo\assets\user_created_web\UCI_004_Soil_Nutrient_Availability.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\Images from internet\New image creations final draft\UCI_004_Soil_Nutrient_Availability.png","copied",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B18_Raw_vs_Charged_Biochar_Ch18.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B18_Raw_vs_Charged_Biochar_Ch18.png","copied",""
