Image ID,Batch,Image need category,Priority: High / Medium / Low,Crop / system,Pest / disease / disorder / process,"Scientific name, if applicable",Visible cue shown,Why this image is useful,Recommended manuscript use,Chapter / entry placement,Current coverage gap filled,File name,Folder path,Source type: USDA / Government / Extension / Bugwood / Wikimedia / Journal / Other,Original source page URL,Direct image file URL,"Secondary mirror URL, if used",Repository / hosting site,Creator / photographer,Rights holder / source organization,Catalog ID / image ID,Image title on source page,Source-stated subject ID,Source-stated crop / host,Source-stated organism / disease / disorder,ID confidence: High / Medium / Low / VERIFY,License name,License version,License URL,Commercial use allowed? Yes / No / VERIFY,Modification/cropping allowed? Yes / No / VERIFY,Attribution required? Yes / No / VERIFY,Exact attribution text,Credit line draft,Special restrictions,ShareAlike / GFDL / NC / ND risk,Contains identifiable person? Yes / No,Contains watermark/catalog ID? Yes / No,Resolution / pixel dimensions,Image quality: Excellent / Good / Marginal / Reject,Instructional value score 0–5,Diagnostic clarity score 0–5,Rights confidence score 0–5,Overall recommendation: Use candidate / Conditional / Hold / Reject / No suitable found photo,Reason for recommendation,Caption draft,Alt text draft,Caption safety notes,Factual-label risk,Verification still needed,Search terms tried,Rejected alternatives reviewed,Notes
B28_11,Batch28_RootCrownAbioticPestDamage,Pest lifecycle / hidden damage,High,Squash / cucurbits,Squash vine borer larva inside split stem,Melittia cucurbitae,Larvae inside cut-open squash stem with associated frass,Shows the hidden larval stage and why timing matters; more instructional than an isolated adult moth.,Squash vine borer lifecycle/action-window plate,Summer squash / winter squash pest diagnostics,Squash vine borer larvae inside split stem,LSE_FOUND_B28_PEST_SquashVineBorer_LarvaeSplitStemFrass_Pollinator_CC-BY-2.5_CONDITIONAL.jpg,02_Conditional_Rights_Review,Wikimedia,https://commons.wikimedia.org/wiki/File:Squash_borer_1741.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1e/Squash_borer_1741.jpg,Originally from English Wikipedia according to Commons history,Wikimedia Commons,"Pollinator~commonswiki, assumed by Commons based on copyright claims",Pollinator~commonswiki,Commons file,Squash borer 1741.jpg,Squash vine borer; squash stem cut open to show active borer and frass,Squash,Squash vine borer larvae and frass,High,Creative Commons Attribution; alternative CC BY-SA/GFDL legacy tags noted,CC BY 2.5 selected from available options,https://creativecommons.org/licenses/by/2.5/,Yes,Yes,Yes,"Pollinator~commonswiki, CC BY 2.5, via Wikimedia Commons; indicate changes if modified.","Photo: Pollinator~commonswiki, CC BY 2.5, via Wikimedia Commons.",Legacy Commons source/author fields require production provenance review.,"Legacy CC BY-SA/GFDL options present; selected CC BY 2.5, but review advised.",No,No,1200 × 900,Excellent,5,5,3,Conditional,High instructional value but legacy Commons provenance and possible duplicate coverage require review.,"Source-identified squash vine borer larvae inside a split squash stem. Once larvae are protected inside the stem, management has to shift from contact treatments to inspection, removal, prevention, and timing.",Cut-open squash stem showing white squash vine borer larvae and tan frass inside the stem.,"Do not imply every wilting squash has vine borer; inspect stem base and consider drought, bacterial wilt, and root damage lookalikes.",Low,Provenance review; duplicate review against earlier squash vine borer candidates.,squash vine borer larva split stem Wikimedia Commons; Melittia cucurbitae larva frass,Moth-only images; generic wilted squash photos.,Useful if not already represented by earlier image folder.
B28_12,Batch28_RootCrownAbioticPestDamage,Abiotic stress and lookalikes,Medium,Leaf scorch pattern cue; non-vegetable host,Fertilizer burn / salt injury pattern cue,Cannabis sativa (host shown; crop mismatch),Brown leaf-edge and spot scorch attributed by source to fertilizer burn,"Shows the burn/scorch pattern, but host is not a vegetable and licensing has GFDL/ShareAlike complexity; use only as temporary reference or inset if production accepts risk.",Abiotic disorder lookalikes; placeholder/reference only until vegetable-specific photo found,Abiotic & Nutrient Disorder Atlas / salt-fertilizer burn section,Partial pattern cue for fertilizer burn; vegetable-specific gap remains,LSE_FOUND_B28_ABIOTIC_FertilizerBurn_LeafScorchPattern_CannabisCropMismatch_Fenrisulfir_CC-BY-SA-GFDL.jpg,02_Conditional_Rights_Review,Wikimedia,https://commons.wikimedia.org/wiki/File:Fertilizer-Burn.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d1/Fertilizer-Burn.jpg,,Wikimedia Commons,Fenrisulfir,Fenrisulfir,Commons file,Fertilizer-Burn.jpg,Fertilizer burn on Cannabis sativa leaf,Cannabis sativa,Fertilizer burn,High for source-stated host/disorder; Medium for vegetable-use relevance,Creative Commons Attribution-ShareAlike / GNU Free Documentation License,CC BY-SA 3.0; GFDL 1.2+,https://creativecommons.org/licenses/by-sa/3.0/,Yes,"Yes, but ShareAlike/GFDL obligations apply",Yes,"Fenrisulfir, CC BY-SA 3.0 / GFDL, via Wikimedia Commons; indicate changes if modified.","Photo: Fenrisulfir, CC BY-SA 3.0 / GFDL, via Wikimedia Commons.",ShareAlike/GFDL production review; crop mismatch; avoid implying vegetable diagnosis.,ShareAlike / GFDL; crop mismatch,No,No,1301 × 1925,Good,3,3,3,Conditional,Useful pattern cue only; not vegetable-specific and rights are production-complex.,"Source-identified fertilizer burn on a non-vegetable leaf. Use only as a leaf-scorch pattern cue until a vegetable-specific, rights-clean fertilizer/salt-burn photo is found.",Green leaf with brown scorched margins and tan spots attributed by the source to fertilizer burn.,Must state crop mismatch; do not use as direct vegetable diagnosis.,High if used without crop-mismatch note,Find a vegetable-specific replacement; ShareAlike/GFDL production review if retained.,fertilizer burn vegetable leaf CC BY Wikimedia; salt injury tomato leaf CC BY; fertilizer burn Commons,Extension vegetable fertilizer-burn photos with unclear or noncommercial rights.,Included because the gap remains unresolved; not a preferred final image.
B28_NS_01,Batch28_RootCrownAbioticPestDamage,Abiotic/root-zone diagnostics,High,Vegetable containers / beds,Waterlogging / anaerobic roots,,No suitable found photo selected,"This need remains high-value but unfilled; a usable photo would teach a hidden cause, diagnostic cue, or management decision.",Leave unfilled until permissioned/commissioned/local photo is available,Gap-fill queue / relevant diagnostic atlas,Unfilled,,05_No_Suitable_Found_Photo,,,,,,,,,,,,,VERIFY,,,,VERIFY,VERIFY,VERIFY,,,No selected image; rights-clean candidate not found in this pass.,Not applicable / unresolved,No,No,,Reject,0,0,0,No suitable found photo,No rights-clean source-confirmed vegetable root photo found with clear commercial/modification rights.,,,Do not substitute a vague or decorative image for this gap.,High if filled by guessing from appearance alone.,Commission or obtain permission from extension/research source.,waterlogged vegetable roots; anaerobic root-zone symptoms,"Generic, decorative, unclear-license, noncommercial, low-resolution, or source-uncertain images were not selected.",No found photo should be forced into this slot.
B28_NS_02,Batch28_RootCrownAbioticPestDamage,Pest damage / okra,High,Okra,Stink bug or leaffooted bug pod injury,,No suitable found photo selected,"This need remains high-value but unfilled; a usable photo would teach a hidden cause, diagnostic cue, or management decision.",Leave unfilled until permissioned/commissioned/local photo is available,Gap-fill queue / relevant diagnostic atlas,Unfilled,,05_No_Suitable_Found_Photo,,,,,,,,,,,,,VERIFY,,,,VERIFY,VERIFY,VERIFY,,,No selected image; rights-clean candidate not found in this pass.,Not applicable / unresolved,No,No,,Reject,0,0,0,No suitable found photo,Search returned general okra pages and non-rights-clear sources; no production-safe pod-injury photo selected.,,,Do not substitute a vague or decorative image for this gap.,High if filled by guessing from appearance alone.,Obtain permission from extension/Bugwood or photograph locally.,okra stink bug pod injury; okra leaffooted bug damage Bugwood Commons,"Generic, decorative, unclear-license, noncommercial, low-resolution, or source-uncertain images were not selected.",No found photo should be forced into this slot.
B28_NS_03,Batch28_RootCrownAbioticPestDamage,Root/stem disease diagnostics,High,Tomato / pepper,Bacterial wilt ooze / streaming test,,No suitable found photo selected,"This need remains high-value but unfilled; a usable photo would teach a hidden cause, diagnostic cue, or management decision.",Leave unfilled until permissioned/commissioned/local photo is available,Gap-fill queue / relevant diagnostic atlas,Unfilled,,05_No_Suitable_Found_Photo,,,,,,,,,,,,,VERIFY,,,,VERIFY,VERIFY,VERIFY,,,No selected image; rights-clean candidate not found in this pass.,Not applicable / unresolved,No,No,,Reject,0,0,0,No suitable found photo,Found stem/wilt examples but no rights-clean ooze/streaming-test photo suitable for book use.,,,Do not substitute a vague or decorative image for this gap.,High if filled by guessing from appearance alone.,Commission/photograph lab-style ooze test or license from extension.,bacterial wilt ooze test tomato photo CC BY; Ralstonia streaming test image,"Generic, decorative, unclear-license, noncommercial, low-resolution, or source-uncertain images were not selected.",No found photo should be forced into this slot.
B28_NS_04,Batch28_RootCrownAbioticPestDamage,Abiotic lookalikes,High,Tomato / pepper,Herbicide drift with clean commercial rights,,No suitable found photo selected,"This need remains high-value but unfilled; a usable photo would teach a hidden cause, diagnostic cue, or management decision.",Leave unfilled until permissioned/commissioned/local photo is available,Gap-fill queue / relevant diagnostic atlas,Unfilled,,05_No_Suitable_Found_Photo,,,,,,,,,,,,,VERIFY,,,,VERIFY,VERIFY,VERIFY,,,No selected image; rights-clean candidate not found in this pass.,Not applicable / unresolved,No,No,,Reject,0,0,0,No suitable found photo,Useful Bugwood/extension examples exist but commercial rights/source page verification remained insufficient for Use candidate status.,,,Do not substitute a vague or decorative image for this gap.,High if filled by guessing from appearance alone.,Resolve Bugwood/IPMImages license/permission or replace.,"tomato 2,4-D drift CC BY; glyphosate injury tomato Bugwood license","Generic, decorative, unclear-license, noncommercial, low-resolution, or source-uncertain images were not selected.",No found photo should be forced into this slot.
B28_NS_05,Batch28_RootCrownAbioticPestDamage,Abiotic lookalikes,High,Vegetable crops / containers,Salt or fertilizer burn in vegetables,,No suitable found photo selected,"This need remains high-value but unfilled; a usable photo would teach a hidden cause, diagnostic cue, or management decision.",Leave unfilled until permissioned/commissioned/local photo is available,Gap-fill queue / relevant diagnostic atlas,Unfilled,,05_No_Suitable_Found_Photo,,,,,,,,,,,,,VERIFY,,,,VERIFY,VERIFY,VERIFY,,,No selected image; rights-clean candidate not found in this pass.,Not applicable / unresolved,No,No,,Reject,0,0,0,No suitable found photo,"No strong vegetable-specific, rights-clean photo found; available found photo is cannabis/crop-mismatch only.",,,Do not substitute a vague or decorative image for this gap.,High if filled by guessing from appearance alone.,Commission/photograph or license from extension.,salt burn cucumber leaf CC BY; fertilizer burn tomato vegetable Wikimedia,"Generic, decorative, unclear-license, noncommercial, low-resolution, or source-uncertain images were not selected.",No found photo should be forced into this slot.
B28_NS_06,Batch28_RootCrownAbioticPestDamage,North Texas practical systems,Medium,Vegetable garden setup,Shade cloth + drip + mulch hot-climate setup,,No suitable found photo selected,"This need remains high-value but unfilled; a usable photo would teach a hidden cause, diagnostic cue, or management decision.",Leave unfilled until permissioned/commissioned/local photo is available,Gap-fill queue / relevant diagnostic atlas,Unfilled,,05_No_Suitable_Found_Photo,,,,,,,,,,,,,VERIFY,,,,VERIFY,VERIFY,VERIFY,,,No selected image; rights-clean candidate not found in this pass.,Not applicable / unresolved,No,No,,Reject,0,0,0,No suitable found photo,"No clear, instructionally strong, rights-clean setup photo found that showed all three elements in a vegetable context.",,,Do not substitute a vague or decorative image for this gap.,High if filled by guessing from appearance alone.,Photograph local setup or obtain permission from extension/grower.,shade cloth vegetable garden drip mulch Commons; USDA shade cloth vegetable garden,"Generic, decorative, unclear-license, noncommercial, low-resolution, or source-uncertain images were not selected.",No found photo should be forced into this slot.
B28_NS_07,Batch28_RootCrownAbioticPestDamage,Water management / soil failure,Medium,Raised beds / clay soil,Standing water / ponding / wet-clay smearing in vegetable bed,,No suitable found photo selected,"This need remains high-value but unfilled; a usable photo would teach a hidden cause, diagnostic cue, or management decision.",Leave unfilled until permissioned/commissioned/local photo is available,Gap-fill queue / relevant diagnostic atlas,Unfilled,,05_No_Suitable_Found_Photo,,,,,,,,,,,,,VERIFY,,,,VERIFY,VERIFY,VERIFY,,,No selected image; rights-clean candidate not found in this pass.,Not applicable / unresolved,No,No,,Reject,0,0,0,No suitable found photo,No source-confirmed rights-clean vegetable-bed ponding/smearing photo found.,,,Do not substitute a vague or decorative image for this gap.,High if filled by guessing from appearance alone.,Photograph North Texas bed after rain or license from extension.,raised bed drainage failure standing water vegetable garden CC BY; Blackland clay ponding photo,"Generic, decorative, unclear-license, noncommercial, low-resolution, or source-uncertain images were not selected.",No found photo should be forced into this slot.
B28_NS_08,Batch28_RootCrownAbioticPestDamage,Root diagnostics,Medium,Vegetable transplants,Healthy vs diseased roots side-by-side,,No suitable found photo selected,"This need remains high-value but unfilled; a usable photo would teach a hidden cause, diagnostic cue, or management decision.",Leave unfilled until permissioned/commissioned/local photo is available,Gap-fill queue / relevant diagnostic atlas,Unfilled,,05_No_Suitable_Found_Photo,,,,,,,,,,,,,VERIFY,,,,VERIFY,VERIFY,VERIFY,,,No selected image; rights-clean candidate not found in this pass.,Not applicable / unresolved,No,No,,Reject,0,0,0,No suitable found photo,No usable side-by-side rights-clear comparison photo found.,,,Do not substitute a vague or decorative image for this gap.,High if filled by guessing from appearance alone.,Commission/photograph comparison using actual transplants.,healthy diseased vegetable roots comparison photo CC BY; root rot progression vegetable roots,"Generic, decorative, unclear-license, noncommercial, low-resolution, or source-uncertain images were not selected.",No found photo should be forced into this slot.
B28_NS_09,Batch28_RootCrownAbioticPestDamage,Root-knot nematode / okra,High,Okra,Okra root-knot nematode galling,,No suitable found photo selected,"This need remains high-value but unfilled; a usable photo would teach a hidden cause, diagnostic cue, or management decision.",Leave unfilled until permissioned/commissioned/local photo is available,Gap-fill queue / relevant diagnostic atlas,Unfilled,,05_No_Suitable_Found_Photo,,,,,,,,,,,,,VERIFY,,,,VERIFY,VERIFY,VERIFY,,,No selected image; rights-clean candidate not found in this pass.,Not applicable / unresolved,No,No,,Reject,0,0,0,No suitable found photo,No rights-clear okra-specific galling photo selected; generic root-knot images already exist for tomato/sweet potato.,,,Do not substitute a vague or decorative image for this gap.,High if filled by guessing from appearance alone.,Obtain permission or photograph affected okra roots.,okra root knot nematode galling photo; Meloidogyne okra roots image CC BY,"Generic, decorative, unclear-license, noncommercial, low-resolution, or source-uncertain images were not selected.",No found photo should be forced into this slot.
B28_NS_10,Batch28_RootCrownAbioticPestDamage,Pest lifecycle / cowpea,High,Cowpea / southern pea,Cowpea curculio larva inside pod with clean rights,,No suitable found photo selected,"This need remains high-value but unfilled; a usable photo would teach a hidden cause, diagnostic cue, or management decision.",Leave unfilled until permissioned/commissioned/local photo is available,Gap-fill queue / relevant diagnostic atlas,Unfilled,,05_No_Suitable_Found_Photo,,,,,,,,,,,,,VERIFY,,,,VERIFY,VERIFY,VERIFY,,,No selected image; rights-clean candidate not found in this pass.,Not applicable / unresolved,No,No,,Reject,0,0,0,No suitable found photo,"Excellent extension examples exist, but reuse permission remains unresolved for a sold book.",,,Do not substitute a vague or decorative image for this gap.,High if filled by guessing from appearance alone.,Request permission from UGA/Bugwood or commission/local photo.,cowpea curculio larva inside pod photo CC BY; Chalcodermus aeneus pod damage Bugwood,"Generic, decorative, unclear-license, noncommercial, low-resolution, or source-uncertain images were not selected.",No found photo should be forced into this slot.
