"target","target_rel","source","source_loc","dims","kb","sha256","candidates","distinct_hashes","review","refs","metadata"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B06_Fungal_Bacterial_Succession_Strip_Ch07.png","assets\lse_figures\LSE_B06_Fungal_Bacterial_Succession_Strip_Ch07.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\lse_figures\LSE_B06_Fungal_Bacterial_Succession_Strip_Ch07.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1536x1024","2924","686FFF3960F3FFF2AFE455A25E6862D36E9C8EF146C4EEA7F432C2A6C048E3A6","1","1","","2",""
"C:\Users\dstor\lse-repo\assets\user_created_web\UCI_009_Fungal_Bacterial_Input_Guide.png","assets\user_created_web\UCI_009_Fungal_Bacterial_Input_Guide.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\Images from internet\New image creations final draft\UCI_009_Fungal_Bacterial_Input_Guide.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1536x1024","1894","292AC7A6EE634B237ACBFBBB09B445E392466AC071E3FE36DBCC651B8C6116A3","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\user_created_web\UCI_007_Composite_Method_Reference.png","assets\user_created_web\UCI_007_Composite_Method_Reference.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\Images from internet\New image creations final draft\UCI_007_Composite_Method_Reference.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1536x1024","2364","B0C7DE13BE6551F05818F5A5E657E697DFE5F71AD31810F1F9091ADE31AE764C","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B07_Five_Soil_Health_Principles_Wheel_Ch08.png","assets\lse_figures\LSE_B07_Five_Soil_Health_Principles_Wheel_Ch08.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B07_Five_Soil_Health_Principles_Wheel_Ch08.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1254x1254","2949","BCFD2D66C9DF988BB19E77A2C529C7165A739F95C6A9C5B04197A9FC84C70461","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A05_Regenerative_Permaculture_Garden_System_Ch08.png","assets\lse_figures\LSE_A05_Regenerative_Permaculture_Garden_System_Ch08.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_A05_Regenerative_Permaculture_Garden_System_Ch08.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1024x1536","3503","C9805FC29B23E4BFFCDF47D6A0482A4301ABAF6AA218159547784D552955244B","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\user_created_web\UCI_006_Permaculture_Zone_Map.png","assets\user_created_web\UCI_006_Permaculture_Zone_Map.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\Images from internet\New image creations final draft\UCI_006_Permaculture_Zone_Map.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1254x1254","2638","C77143D95AD518BB3260DAE2AFB29148BF3D52E0D65D860254C7FED3D96AFA4F","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B08_Thermal_Compost_Process_Ch09_Ch13.png","assets\lse_figures\LSE_B08_Thermal_Compost_Process_Ch09_Ch13.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B08_Thermal_Compost_Process_Ch09_Ch13.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1149x1369","2397","6113C311946E73287518C624316ABB1BBF1846EBDF9F44E7500A751E57B9DF08","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B09_Compost_Extract_vs_AACT_Ch09_19.png","assets\lse_figures\LSE_B09_Compost_Extract_vs_AACT_Ch09_19.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\lse_figures\LSE_B09_Compost_Extract_vs_AACT_Ch09_19.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1149x1369","1905","F29B5FC0A08B23B86B20172B8AC37FA37AD02A535759A41A8DFEFE75544EED97","1","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A06_Compost_Microscope_Soil_Food_Web_Workflow_Ch09.png","assets\lse_figures\LSE_A06_Compost_Microscope_Soil_Food_Web_Workflow_Ch09.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_A06_Compost_Microscope_Soil_Food_Web_Workflow_Ch09.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1536x1024","2472","4C079EB403225C38FC7AAA4B0A620A5C10B1783972A838120F35609237E4506E","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B10_Coots_Mix_1_1_1_Triangle_Ch10_23.png","assets\lse_figures\LSE_B10_Coots_Mix_1_1_1_Triangle_Ch10_23.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B10_Coots_Mix_1_1_1_Triangle_Ch10_23.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1254x1254","2531","075294B8BE2E280A22930F66B59AE8CBA22FAC52768D60D8C1455B4A9AA01E6B","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B11_Plant_Health_Pyramid_Evidence_Boundary_Ch11_Ch41.png","assets\lse_figures\LSE_B11_Plant_Health_Pyramid_Evidence_Boundary_Ch11_Ch41.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B11_Plant_Health_Pyramid_Evidence_Boundary_Ch11_Ch41.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1122x1402","2780","B2A3E48BE5F6FFA57ED20CC7222E3A9099F91767D02F162657A472DF9F1D344F","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A18_IPM_Pyramid_Scouting_Ch39.png","assets\lse_figures\LSE_A18_IPM_Pyramid_Scouting_Ch39.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\lse_figures\LSE_A18_IPM_Pyramid_Scouting_Ch39.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1122x1402","2481","8BBA8F91277C8BA3227915FC2EFB420A8DA8063BD196940E2794923368B5CD6C","1","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B16_Trace_Element_Deficiency_vs_Toxicity_Ch14.png","assets\lse_figures\LSE_B16_Trace_Element_Deficiency_vs_Toxicity_Ch14.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B16_Trace_Element_Deficiency_vs_Toxicity_Ch14.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1402x1122","2396","33B85160D5DA00822C751B2F9A3B8BDB82452CD4FA02B0431A0303E235539AFC","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B12_KNF_IMO_1_4_Workflow_Ch12_Ch19.png","assets\lse_figures\LSE_B12_KNF_IMO_1_4_Workflow_Ch12_Ch19.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B12_KNF_IMO_1_4_Workflow_Ch12_Ch19.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1122x1402","2440","F28600805CAE510AFFD235E6760AF393F75FA4AF38C8B7A7D673696A8EFDE26C","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B13_JADAM_Safety_Plate_Ch12_19_41.png","assets\lse_figures\LSE_B13_JADAM_Safety_Plate_Ch12_19_41.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B13_JADAM_Safety_Plate_Ch12_19_41.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1149x1369","2157","026E38057DCD5217D653B6AB0B2E59629FFE36B5ED0B7EF787251DAD1A645478","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E01_North_Texas_Soil_Failure_Modes_Ch20_Ch21_Ch33.png","assets\lse_figures\LSE_E01_North_Texas_Soil_Failure_Modes_Ch20_Ch21_Ch33.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_E01_North_Texas_Soil_Failure_Modes_Ch20_Ch21_Ch33.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1536x1024","2736","F302BED5F7D7928272FCFC3C0BAA3332421AF9A834C61CCD183434E3B64AA9F8","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\user_created_web\UCI_012_Raised_Bed_Cross_Section_Layers_and_Fill_Strategy.png","assets\user_created_web\UCI_012_Raised_Bed_Cross_Section_Layers_and_Fill_Strategy.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\Images from internet\New image creations final draft\UCI_012_Raised_Bed_Cross_Section_Layers_and_Fill_Strategy.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1536x1024","2698","D749D6494996413E4BC86C16DE1021043E0C5880B409552C51533D861542ADA8","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\B30_068__LSE_FOUND_B29_PRACTICAL_ContainerVegetables_ReservoirSpace_WateringDepth_KathleenMoore_CC-BY-2.0.jpg","assets\B30_068__LSE_FOUND_B29_PRACTICAL_ContainerVegetables_ReservoirSpace_WateringDepth_KathleenMoore_CC-BY-2.0.jpg","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\B30_068__LSE_FOUND_B29_PRACTICAL_ContainerVegetables_ReservoirSpace_WateringDepth_KathleenMoore_CC-BY-2.0.jpg","LSE_FINAL_IMAGE_AND_SPLIT_FIX","450x600","41","932E0A938FF9BDA1C077F4F697F9968D6CFBA2E24E62DA1DD915BC2CAE314341","1","1","","2",""
"C:\Users\dstor\lse-repo\assets\B30_067__LSE_FOUND_B29_ABIOTIC_ContainerHerbs_SaltBuildup_WhiteSaltCrust_DianeMays_CC-BY-2.0.jpg","assets\B30_067__LSE_FOUND_B29_ABIOTIC_ContainerHerbs_SaltBuildup_WhiteSaltCrust_DianeMays_CC-BY-2.0.jpg","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\B30_067__LSE_FOUND_B29_ABIOTIC_ContainerHerbs_SaltBuildup_WhiteSaltCrust_DianeMays_CC-BY-2.0.jpg","LSE_FINAL_IMAGE_AND_SPLIT_FIX","600x450","27","1B80DE2ABEDCF47E4F8324243DFF70C7387B1006222EB97B0BADE207EF2B3F03","1","1","","2",""
"C:\Users\dstor\lse-repo\assets\B30_069__LSE_FOUND_B29_PRACTICAL_SmallSpaceVegetables_OutdoorRailingContainers_LucyBradley_CC-BY-2.0.jpg","assets\B30_069__LSE_FOUND_B29_PRACTICAL_SmallSpaceVegetables_OutdoorRailingContainers_LucyBradley_CC-BY-2.0.jpg","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\B30_069__LSE_FOUND_B29_PRACTICAL_SmallSpaceVegetables_OutdoorRailingContainers_LucyBradley_CC-BY-2.0.jpg","LSE_FINAL_IMAGE_AND_SPLIT_FIX","600x448","55","9F5C21F699BD0948118F96A800FCB7E2A766FD897ACBB3BA77967C1136B25BE9","1","1","","2",""
"C:\Users\dstor\lse-repo\assets\B30_005__LSE_FOUND_B26_ROOTS_Container_Rootbound_CirclingRoots_B137_CC0.jpg","assets\B30_005__LSE_FOUND_B26_ROOTS_Container_Rootbound_CirclingRoots_B137_CC0.jpg","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\B30_005__LSE_FOUND_B26_ROOTS_Container_Rootbound_CirclingRoots_B137_CC0.jpg","LSE_FINAL_IMAGE_AND_SPLIT_FIX","750x1000","108","CEA3FCB8E2607A9F8228C2B8FF5599405D1FA379A95AB571AF2C180FADFC43AC","1","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A12_Living_Soil_Container_Cross_Section_Ch22.png","assets\lse_figures\LSE_A12_Living_Soil_Container_Cross_Section_Ch22.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\lse_figures\LSE_A12_Living_Soil_Container_Cross_Section_Ch22.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1122x1402","2410","15F60B5A702C5DE8E8E97D678A12DFF2E714CA3D39459DC8606D578283060D41","1","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E06_Container_Drainage_Myth_Rocks_At_The_Bottom_Ch22_Ch31.png","assets\lse_figures\LSE_E06_Container_Drainage_Myth_Rocks_At_The_Bottom_Ch22_Ch31.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_E06_Container_Drainage_Myth_Rocks_At_The_Bottom_Ch22_Ch31.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1402x1122","2090","F4109ADC074ECA9727086CB60784AF929F0FE10B0EF111BACC07BC79E40775CF","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B21_Soil_Recipe_Matrix_By_Crop_Type_Ch23.png","assets\lse_figures\LSE_B21_Soil_Recipe_Matrix_By_Crop_Type_Ch23.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B21_Soil_Recipe_Matrix_By_Crop_Type_Ch23.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1536x1024","1869","55F519EBE7C7103126F38DB03BCD5ECCC0E1B28631DE487DFE5C247B2059DB8E","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\user_created_web\UCI_014_No_Till_Top_Dressing_Cycle.png","assets\user_created_web\UCI_014_No_Till_Top_Dressing_Cycle.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\Images from internet\New image creations final draft\UCI_014_No_Till_Top_Dressing_Cycle.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1254x1254","2261","C06AA74CA37957E38497222C62DDBB552EED80656E81F1E5EFAD8EA099425674","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B22_Top_Dress_Layer_Cake_Ch24.png","assets\lse_figures\LSE_B22_Top_Dress_Layer_Cake_Ch24.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B22_Top_Dress_Layer_Cake_Ch24.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1195x1316","2638","11503A83E1227FFAFDC4C98AEDB90AD0DE01625D91CFAA526B20D1F659A19CFD","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A13_Cover_Crop_Function_Root_Architecture_Plate_Ch25.png","assets\lse_figures\LSE_A13_Cover_Crop_Function_Root_Architecture_Plate_Ch25.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_A13_Cover_Crop_Function_Root_Architecture_Plate_Ch25.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1122x1402","2790","1751C7963A093CD42ABB30DFA5A39058A90407C6DD613C031F647C65129C7B3B","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B23_Cover_Crop_Selector_North_Texas_Ch25.png","assets\lse_figures\LSE_B23_Cover_Crop_Selector_North_Texas_Ch25.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B23_Cover_Crop_Selector_North_Texas_Ch25.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1402x1122","2184","DECDB9402197BE0684B2A714BF425ED70938DD403512E6472BBAA4AAC363ABE8","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C20_Cover_Crop_Termination_Methods_Small_Beds_Ch25.png","assets\lse_figures\LSE_C20_Cover_Crop_Termination_Methods_Small_Beds_Ch25.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_C20_Cover_Crop_Termination_Methods_Small_Beds_Ch25.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1536x1024","2925","5041F1409636358B09BA826C5D68399505824141244C3134BB290D7D2BA99D54","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_E09_Cover_Crop_Failure_Modes_Small_Beds_Ch25.png","assets\lse_figures\LSE_E09_Cover_Crop_Failure_Modes_Small_Beds_Ch25.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_E09_Cover_Crop_Failure_Modes_Small_Beds_Ch25.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1536x1024","2472","F0DAEC6EED65242ECF4AA08D2D8FDCFCA677FFEDA9297FC6EF67D5307A148313","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\B30_049__LSE_FOUND_B28_SOIL_DroughtDrySoil_CrackingScale_VladislavNekrasov_CC-BY-4.0.jpg","assets\B30_049__LSE_FOUND_B28_SOIL_DroughtDrySoil_CrackingScale_VladislavNekrasov_CC-BY-4.0.jpg","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\B30_049__LSE_FOUND_B28_SOIL_DroughtDrySoil_CrackingScale_VladislavNekrasov_CC-BY-4.0.jpg","LSE_FINAL_IMAGE_AND_SPLIT_FIX","999x666","94","95B361ED6B41736425FF312023E4781E18DC6D1E49DC4A7598AAE28C024EE8A1","1","1","","2",""
"C:\Users\dstor\lse-repo\assets\B30_008__LSE_FOUND_B26_SOIL_AggregateStability_SlakeComparison_LanceCheung_USDA-PD.jpg","assets\B30_008__LSE_FOUND_B26_SOIL_AggregateStability_SlakeComparison_LanceCheung_USDA-PD.jpg","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\output\assets\B30_008__LSE_FOUND_B26_SOIL_AggregateStability_SlakeComparison_LanceCheung_USDA-PD.jpg","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1000x648","84","531EB897F23CACEB5D500AE4124A30C369EBD1C65BD581C9FAB232ED69EF51F1","1","1","","2",""
