expected_path,source_relpath,action,renamed_on_copy
assets/lse_figures/LSE_E01_North_Texas_Soil_Failure_Modes_Ch20_Ch21_Ch33.png,New image creations final draft\LSE_E01_North_Texas_Soil_Failure_Modes_Ch20_Ch21_Ch33.png.png,rename-on-copy,yes
assets/user_created_web/UCI_012_Raised_Bed_Cross_Section_Layers_and_Fill_Strategy.png,New image creations final draft\UCI_012_Raised_Bed_Cross_Section_Layers_and_Fill_Strategy.png,exact-copy,no
assets/lse_figures/LSE_E06_Container_Drainage_Myth_Rocks_At_The_Bottom_Ch22_Ch31.png,New image creations final draft\LSE_E06_Container_Drainage_Myth_Rocks_At_The_Bottom_Ch22_Ch31.png.png,rename-on-copy,yes
assets/lse_figures/LSE_B21_Soil_Recipe_Matrix_By_Crop_Type_Ch23.png,New image creations final draft\LSE_B21_Soil_Recipe_Matrix_By_Crop_Type_Ch23.png.png,rename-on-copy,yes
assets/user_created_web/UCI_014_No_Till_Top_Dressing_Cycle.png,New image creations final draft\UCI_014_No_Till_Top_Dressing_Cycle.png,exact-copy,no
assets/lse_figures/LSE_B22_Top_Dress_Layer_Cake_Ch24.png,New image creations final draft\LSE_B22_Top_Dress_Layer_Cake_Ch24.png.png,rename-on-copy,yes
assets/lse_figures/LSE_A13_Cover_Crop_Function_Root_Architecture_Plate_Ch25.png,New image creations final draft\LSE_A13_Cover_Crop_Function_Root_Architecture_Plate_Ch25.png.png,rename-on-copy,yes
assets/lse_figures/LSE_B23_Cover_Crop_Selector_North_Texas_Ch25.png,New image creations final draft\LSE_B23_Cover_Crop_Selector_North_Texas_Ch25.png.png,rename-on-copy,yes
assets/lse_figures/LSE_C20_Cover_Crop_Termination_Methods_Small_Beds_Ch25.png,New image creations final draft\LSE_C20_Cover_Crop_Termination_Methods_Small_Beds_Ch25.png.png,rename-on-copy,yes
assets/lse_figures/LSE_E09_Cover_Crop_Failure_Modes_Small_Beds_Ch25.png,New image creations final draft\LSE_E09_Cover_Crop_Failure_Modes_Small_Beds_Ch25.png.png,rename-on-copy,yes
assets/user_created_web/UCI_022_Irrigation_Systems_Comparison.png,New image creations final draft\UCI_022_Irrigation_Systems_Comparison.png,exact-copy,no
assets/user_created_web/UCI_018_Comparing_Irrigation_Systems_for_Home_Gardens.png,New image creations final draft\UCI_018_Comparing_Irrigation_Systems_for_Home_Gardens.png,exact-copy,no
assets/lse_figures/LSE_B30_Irrigation_Systems_Compared_Ch34.png,New image creations final draft\LSE_B30_Irrigation_Systems_Compared_Ch34.png.png,rename-on-copy,yes
assets/lse_figures/LSE_C05_Irrigation_Maintenance_Checklist_Ch34_35_49.png,New image creations final draft\LSE_C05_Irrigation_Maintenance_Checklist_Ch34_35_49.png.png,rename-on-copy,yes
assets/user_created_web/UCI_024_Rainwater_Harvesting_System_Home_Scale.png,New image creations final draft\UCI_024_Rainwater_Harvesting_System_Home_Scale.png,exact-copy,no
assets/lse_figures/LSE_A17_Hoop_House_Season_Extension_Setup_Ch36.png,New image creations final draft\LSE_A17_Hoop_House_Season_Extension_Setup_Ch36.png.png,rename-on-copy,yes
assets/lse_figures/LSE_E14_Hoop_House_Spring_Rain_vs_Summer_Heat_Ch36.png,New image creations final draft\LSE_E14_Hoop_House_Spring_Rain_vs_Summer_Heat_Ch36.png.png,rename-on-copy,yes
assets/lse_figures/LSE_E16_Light_Metrics_PPFD_DLI_Concept_Ch37.png,New image creations final draft\LSE_E16_Light_Metrics_PPFD_DLI_Concept_Ch37.png.png,rename-on-copy,yes
assets/lse_figures/LSE_C02_Seed_Starting_Hardening_Off_Workflow_Ch49.png,New image creations final draft\LSE_C02_Seed_Starting_Hardening_Off_Workflow_Ch49.png.png,rename-on-copy,yes
assets/lse_figures/LSE_B32_Tool_Sanitation_Workflow_Ch38_49.png,New image creations final draft\LSE_B32_Tool_Sanitation_Workflow_Ch38_49.png.png,rename-on-copy,yes
assets/user_created_web/UCI_023_Soil_Test_Results_How_to_Read_Them.png,New image creations final draft\UCI_023_Soil_Test_Results_How_to_Read_Them.png,exact-copy,no
assets/lse_figures/LSE_C12_Soil_Test_Report_Decoder_Ch45.png,New image creations final draft\LSE_C12_Soil_Test_Report_Decoder_Ch45.png.png,rename-on-copy,yes
assets/user_created_web/UCI_008_Soil_Input_Categories_Overview.png,New image creations final draft\UCI_008_Soil_Input_Categories_Overview.png,exact-copy,no
assets/lse_figures/LSE_A09_Compost_Maturity_Contamination_Inspection_Ch13.png,New image creations final draft\LSE_A09_Compost_Maturity_Contamination_Inspection_Ch13.png.png,rename-on-copy,yes
assets/lse_figures/LSE_B17_Microbial_Inoculant_Viability_Root_Contact_Ch17.png,New image creations final draft\LSE_B17_Microbial_Inoculant_Viability_Root_Contact_Ch17.png.png,rename-on-copy,yes
assets/lse_figures/LSE_A10_Brews_Teas_Ferments_Safety_Station_Ch19.png,New image creations final draft\LSE_A10_Brews_Teas_Ferments_Safety_Station_Ch19.png.png,rename-on-copy,yes
assets/user_created_web/UCI_031_Home_Brew_Feed_Quick_Reference_Card.png,New image creations final draft\UCI_031_Home_Brew_Feed_Quick_Reference_Card.png,exact-copy,no
assets/lse_figures/LSE_C06_AACT_Brewing_Safety_Workflow_Ch19_Ch49.png,New image creations final draft\LSE_C06_AACT_Brewing_Safety_Workflow_Ch19_Ch49.png.png,rename-on-copy,yes
assets/lse_figures/LSE_B15_Lime_Gypsum_Sulfur_Decision_Tree_Ch14.png,New image creations final draft\LSE_B15_Lime_Gypsum_Sulfur_Decision_Tree_Ch14.png.png,rename-on-copy,yes
assets/user_created_web/UCI_004_Soil_Nutrient_Availability.png,New image creations final draft\UCI_004_Soil_Nutrient_Availability.png,exact-copy,no
assets/lse_figures/LSE_B18_Raw_vs_Charged_Biochar_Ch18.png,New image creations final draft\LSE_B18_Raw_vs_Charged_Biochar_Ch18.png.png,rename-on-copy,yes
assets/lse_figures/LSE_B24_Companion_Planting_Mechanism_vs_Folklore_Ch26.png,New image creations final draft\LSE_B24_Companion_Planting_Mechanism_vs_Folklore_Ch26.png.png,rename-on-copy,yes
assets/lse_figures/LSE_E12_Trap_Crop_Decision_Nasturtium_Aphids_Ch26_Ch28_Ch39.png,New image creations final draft\LSE_E12_Trap_Crop_Decision_Nasturtium_Aphids_Ch26_Ch28_Ch39.png.png,rename-on-copy,yes
assets/user_created_web/UCI_015_Three_Sisters_Guild.png,New image creations final draft\UCI_015_Three_Sisters_Guild.png,exact-copy,no
assets/user_created_web/UCI_016_Polyculture_Guild_Design.png,New image creations final draft\UCI_016_Polyculture_Guild_Design.png,exact-copy,no
assets/lse_figures/LSE_B25_Seven_Layer_Guild_Design_Texas_Peach_Ch27.png,New image creations final draft\LSE_B25_Seven_Layer_Guild_Design_Texas_Peach_Ch27.png.png,rename-on-copy,yes
assets/lse_figures/LSE_A14_Insectary_Pollinator_Guild_Ch28.png,New image creations final draft\LSE_A14_Insectary_Pollinator_Guild_Ch28.png.png,rename-on-copy,yes
assets/lse_figures/LSE_E07_Living_Mulch_Insectary_Strip_Boundary_Ch28.png,New image creations final draft\LSE_E07_Living_Mulch_Insectary_Strip_Boundary_Ch28.png.png,rename-on-copy,yes
assets/lse_figures/LSE_B26_Flower_Architecture_For_Beneficial_Insects_Ch28_40.png,New image creations final draft\LSE_B26_Flower_Architecture_For_Beneficial_Insects_Ch28_40.png.png,rename-on-copy,yes
assets/lse_figures/LSE_E10_Pollinator_Safe_Spray_Timing_Ch28_39_41.png,New image creations final draft\LSE_E10_Pollinator_Safe_Spray_Timing_Ch28_39_41.png.png,rename-on-copy,yes
assets/user_created_web/UCI_013_Beneficial_Insectary_Bloom_Calendar.png,New image creations final draft\UCI_013_Beneficial_Insectary_Bloom_Calendar.png,exact-copy,no
assets/lse_figures/LSE_E11_North_Texas_Insectary_Bloom_Succession_Calendar_Ch28_40.png,New image creations final draft\LSE_E11_North_Texas_Insectary_Bloom_Succession_Calendar_Ch28_40.png.png,rename-on-copy,yes
assets/lse_figures/LSE_A15_Crop_Family_Rotation_Map_Ch29.png,New image creations final draft\LSE_A15_Crop_Family_Rotation_Map_Ch29.png.png,rename-on-copy,yes
assets/lse_figures/LSE_B28_North_Texas_Bed_Pivot_Calendar_Ch25_Ch29_Ch30.png,New image creations final draft\LSE_B28_North_Texas_Bed_Pivot_Calendar_Ch25_Ch29_Ch30.png.png,rename-on-copy,yes
assets/lse_figures/LSE_C08_Crop_Planning_Succession_Board_Ch29_49.png,New image creations final draft\LSE_C08_Crop_Planning_Succession_Board_Ch29_49.png.png,rename-on-copy,yes
assets/user_created_web/UCI_028_Seasonal_Planting_Calendar.png,New image creations final draft\UCI_028_Seasonal_Planting_Calendar.png,exact-copy,no
assets/lse_figures/LSE_D13_Squash_Vine_Borer_Scouting_Plate_Ch30_39.png,New image creations final draft\LSE_D13_Squash_Vine_Borer_Scouting_Plate_Ch30_39.png.png,rename-on-copy,yes
assets/lse_figures/LSE_D14_Cucumber_Beetle_Bacterial_Wilt_Vector_Diagram_Ch30_Ch39_Ch42.png,New image creations final draft\LSE_D14_Cucumber_Beetle_Bacterial_Wilt_Vector_Diagram_Ch30_Ch39_Ch42.png.png,rename-on-copy,yes
assets/lse_figures/LSE_D17_Okra_Pod_Injury_Hidden_Pest_Damage_Ch30.png,New image creations final draft\LSE_D17_Okra_Pod_Injury_Hidden_Pest_Damage_Ch30.png.png,rename-on-copy,yes
assets/lse_figures/LSE_E03_Row_Cover_Low_Tunnel_Timing_Plate_Ch30_36_39.png,New image creations final draft\LSE_E03_Row_Cover_Low_Tunnel_Timing_Plate_Ch30_36_39.png.png,rename-on-copy,yes
assets/lse_figures/LSE_B29_Herb_Grouping_Matrix_Ch31.png,New image creations final draft\LSE_B29_Herb_Grouping_Matrix_Ch31.png.png,rename-on-copy,yes
assets/lse_figures/LSE_C17_Basil_Pruning_Downy_Mildew_Scouting_Ch31_42.png,New image creations final draft\LSE_C17_Basil_Pruning_Downy_Mildew_Scouting_Ch31_42.png.png,rename-on-copy,yes
assets/lse_figures/LSE_C19_Woody_Herb_Harvest_Limits_Ch31.png,New image creations final draft\LSE_C19_Woody_Herb_Harvest_Limits_Ch31.png.png,rename-on-copy,yes
assets/lse_figures/LSE_D20_Basil_Downy_Mildew_vs_Nutrient_Yellowing_Ch31_42.png,New image creations final draft\LSE_D20_Basil_Downy_Mildew_vs_Nutrient_Yellowing_Ch31_42.png.png,rename-on-copy,yes
assets/lse_figures/LSE_C16_Herb_Barrel_Setup_Sequence_Ch31.png,New image creations final draft\LSE_C16_Herb_Barrel_Setup_Sequence_Ch31.png.png,rename-on-copy,yes
assets/lse_figures/LSE_C18_Cilantro_Dill_Cool_Season_Succession_Ch31.png,New image creations final draft\LSE_C18_Cilantro_Dill_Cool_Season_Succession_Ch31.png.png,rename-on-copy,yes
assets/lse_figures/LSE_E05_Barrel_Herb_Garden_Cross_Section_Ch31.png,New image creations final draft\LSE_E05_Barrel_Herb_Garden_Cross_Section_Ch31.png.png,rename-on-copy,yes
assets/user_created_web/UCI_020_Common_Dallas_Pest_Identification_Guide.png,New image creations final draft\UCI_020_Common_Dallas_Pest_Identification_Guide.png,exact-copy,no
assets/lse_figures/LSE_C03_Daily_Weekly_Scouting_Route_Ch39_Ch49.png,New image creations final draft\LSE_C03_Daily_Weekly_Scouting_Route_Ch39_Ch49.png.png,rename-on-copy,yes
assets/lse_figures/LSE_B33_Beneficial_Insect_Lifecycle_Plate_Ch40.png,New image creations final draft\LSE_B33_Beneficial_Insect_Lifecycle_Plate_Ch40.png.png,rename-on-copy,yes
assets/lse_figures/LSE_C07_Harvest_Postharvest_Handling_Workflow_Ch49.png,New image creations final draft\LSE_C07_Harvest_Postharvest_Handling_Workflow_Ch49.png.png,rename-on-copy,yes
assets/lse_figures/LSE_D03_Damping_Off_Lookalike_Plate_Ch42_49.png,New image creations final draft\LSE_D03_Damping_Off_Lookalike_Plate_Ch42_49.png.png,rename-on-copy,yes
assets/lse_figures/LSE_D15_Tomato_Leaf_Spot_Lookalikes_Ch42.png,New image creations final draft\LSE_D15_Tomato_Leaf_Spot_Lookalikes_Ch42.png.png,rename-on-copy,yes
assets/lse_figures/LSE_D01_Wilt_Triage_Decision_Tree_Ch42.png,New image creations final draft\LSE_D01_Wilt_Triage_Decision_Tree_Ch42.png.png,rename-on-copy,yes
assets/lse_figures/LSE_D02_Southern_Blight_vs_White_Mold_Ch42.png,New image creations final draft\LSE_D02_Southern_Blight_vs_White_Mold_Ch42.png (1).png,rename-on-copy,yes
assets/lse_figures/LSE_D05_Herbicide_Drift_Growth_Regulator_Lookalike_Plate_Ch42.png,New image creations final draft\LSE_D05_Herbicide_Drift_Growth_Regulator_Lookalike_Plate_Ch42.png.png,rename-on-copy,yes
assets/user_created_web/UCI_029_Troubleshooting_Decision_Tree_Yellowing_Leaves.png,New image creations final draft\UCI_029_Troubleshooting_Decision_Tree_Yellowing_Leaves.png,exact-copy,no
assets/lse_figures/LSE_D16_Pepper_Abiotic_Disorders_Herbicide_Lookalikes_Ch42.png,New image creations final draft\LSE_D16_Pepper_Abiotic_Disorders_Herbicide_Lookalikes_Ch42.png.png,rename-on-copy,yes
assets/lse_figures/LSE_C13_Mobile_vs_Immobile_Nutrient_Symptom_Map_Ch46.png,New image creations final draft\LSE_C13_Mobile_vs_Immobile_Nutrient_Symptom_Map_Ch46.png.png,rename-on-copy,yes
assets/lse_figures/LSE_C10_Refractometer_Protocol_Card_Ch47.png,New image creations final draft\LSE_C10_Refractometer_Protocol_Card_Ch47.png.png,rename-on-copy,yes
assets/user_created_web/UCI_025_Brix_Monitoring_Chart.png,New image creations final draft\UCI_025_Brix_Monitoring_Chart.png,exact-copy,no
assets/user_created_web/UCI_010_Biochar_Charging_Process.png,New image creations final draft\UCI_010_Biochar_Charging_Process.png,exact-copy,no
assets/user_created_web/UCI_011_AACT_Brewing_Setup.png,New image creations final draft\UCI_011_AACT_Brewing_Setup.png,exact-copy,no
assets/user_created_web/UCI_017_North_Texas_Crop_Calendar.png,New image creations final draft\UCI_017_North_Texas_Crop_Calendar.png,exact-copy,no
assets/lse_figures/LSE_C01_Annual_Soil_Building_Calendar_Ch49_AppC.png,New image creations final draft\LSE_C01_Annual_Soil_Building_Calendar_Ch49_AppC.png.png,rename-on-copy,yes
assets/user_created_web/UCI_030_Conversion_and_Dilution_Reference_Chart.png,New image creations final draft\UCI_030_Conversion_and_Dilution_Reference_Chart.png,exact-copy,no
assets/lse_figures/LSE_C14_Electroculture_Self_Experiment_Layout_Ch48.png,New image creations final draft\LSE_C14_Electroculture_Self_Experiment_Layout_Ch48.png.png,rename-on-copy,yes
assets/user_created_web/UCI_026_Electroculture_Experimental_Protocol_Layout.png,New image creations final draft\UCI_026_Electroculture_Experimental_Protocol_Layout.png,exact-copy,no
assets/user_created_web/UCI_027_Plant_Electrophysiology_Electrical_Signaling_Pathways.png,New image creations final draft\UCI_027_Plant_Electrophysiology_Electrical_Signaling_Pathways.png,exact-copy,no
assets/user_created_web/UCI_021_Refractometer_Use_Protocol.png,New image creations final draft\UCI_021_Refractometer_Use_Protocol.png,exact-copy,no
